Name,count
Examiner,6
First Baljeet,6
Pedro,6
Girl 3,6
Vanessa-2,6
Candace Robot,6
Emissary 2,6
Dubois,6
Waiter,6
Woman 1,6
Bernie,6
Beppo,6
Imperial Officer 5,6
Chewbacca,6
Banister,5
Grocer,5
Zengle,5
Chloe,5
Warden,5
Candace's Brain,5
Pizza man,5
Doreen,5
Hulkjeet,5
Newsreader,5
O.W.C.A. Computer,5
Boofgard,5
Eliza M. Feyersied,5
Dentist,5
Ferb-2,5
Laird,5
Linda and Candace,5
Vendor,5
Little Witch Suzy,5
Birgitte,5
Dana,5
Woman #1,5
Uncle Owen,5
Reynolds,5
C-3PO,5
Becky,5
Caption,5
Automated voice,5
Rick,5
Lawrence-2,5
Dr. Killbot,5
"Phineas, The Gang & Kids",5
Cosmonaut 1,5
Uncle Sabu,5
Veterinarian,5
Emissary 3,5
Woman #3,5
Cristo Fernández,5
Katherine Marshall,5
Love On the Run Performer,5
Baljeet's Brain,5
Evander,5
Doofenshmirtz (cont'd),5
Reporter,5
Vance,5
"Stacy, Candace",5
Judge #1,5
Monster Truck Driver,5
Tink,5
Police Officer,5
Kiosk,5
Voice,5
Kid 2,5
Mayor Chickenen,4
Khaka Peu Peu's Wife,4
Scientist #1,4
Mindy,4
Megan Rapinoe,4
Customer,4
Da,4
Monobrow,4
Native,4
Baljug,4
Gordon,4
Salesman 2,4
Isabelock,4
Darth Ferb,4
People,4
Isabella Lookalike,4
Horse,4
Weird Teen,4
Ice cream guy,4
Isabella/Buford/Baljeet,4
Male teen,4
Board Member #2,4
Ferb's cousin,4
Cameraman,4
Cooking Instructor,4
"""Abernathy""",4
Dave,4
Girls,4
Ant,4
"Candace, Stacy",4
New Hampshire,4
Norm's speaker,4
General Carl,4
Major Monogram (2nd Dimension),4
Orville Wilkins,4
Wilbur Wilkins,4
Radio announcer,4
Squirrel,4
Linderella,4
Evil Investor,4
Doorman,4
Lord Ramblington,4
Venom,4
Candace/Jeremy,4
Board Member #1,4
Fake Mayor,4
Recording,4
Candace (cont'd.),4
Imperial Officer Jeff,4
Dodo,4
Speckies,4
Finkies,4
Candace (cont'd),4
Electronic voice,4
Montage,4
Doofenshmirtz's Dad,4
Tykera,4
Fifi,4
Grandpa Clyde,4
Random Guy,4
Cell Phone,4
Guilbaud,4
Slamm,4
Kid 1,4
Flight Attendant,4
Little Jeet,4
Ben,4
Mrs. Ferguson,4
Jared,4
Second Baljeet,4
Maitre D,4
Bad Future Doofenshmirtz,4
Kristen,4
Blatto,4
Bus Driver,3
Speckie 1,3
Nostrils fans,3
Dancer,3
Car salesman,3
Dream Fireside Girl,3
Doofenshmirtz head 2,3
Policeman,3
Teen,3
Isabella/Baljeet/Buford,3
Li'l Saul,3
Albert & Irving,3
Flautist,3
Chad,3
Jeff,3
Lady,3
Evan,3
Caveman,3
Chief Linda,3
Aunt Olga,3
Guy,3
Brittany,3
Station Manager,3
Grandma Betty Jo,3
Bus driver,3
Old Woman,3
Girl 2,3
Mona,3
Nana's friend,3
Dinosaur,3
Linda Creature,3
Extra,3
Mean Woman,3
Ropey-Face,3
Elderly man,3
Alien 3,3
Stage Manager,3
LOtR Driver,3
Lawrence/Max,3
Busboy,3
Major Monogram/Voice Over,3
R.I.C.K.,3
Wax Washington Robot,3
Gnome,3
Both Doofenshmirtz's,3
Jack-O-Lantern,3
Vaness,3
Crossing Guard,3
Vanderbeek,3
Biffany,3
Radio Announcer,3
