Name,Dialog
Dink Winkerson,"Dink Winkerson here live for Danville Today. In the heat, in the sun, alarmingly dehydrated. But whatever. Tonight, the ongoing manhunt for the Danville Mother Mugger, a devious, masked criminal who snatches umbrellas from people's moms. Ya can't make this stuff up! And we talked to some socially awkward astronomers who apparently discovered a new meteor hurtling towards Earth, or something."
Phineas,"And now, without any further ado, ladies and gentlemen, I present to you..."
Buford,"Please say, ""Bread Bowl Hot Tub""."
Phineas,...the world's largest...
Buford,Bread Bowl Hot Tub!
Phineas,...zoetrope!
Buford,"And if by ""zoetrope"", ya mean a 19th century optical toy consisting of a cylinder with pictures on the inner servers that produce the illusion of motion, I'm not impressed."
Phineas,It's like a flip book on a wheel.
Baljeet,"Ooh, we should name it!"
Buford,"""Tropey McTropeFace!"" There, move on."
Phineas,Tropey McTropeFace. You girls ready?
Isabella,"Wow, animation is so easy."
Candace,"(laughs maliciously, gathers her hairdryer and towel) Must bust, must bust, must bust, must bust! (goes back for her shirt, laughs some more)"
Phineas,"(offscreen) Hey, where's Perry?"
Major Monogram,"Sorry for the lair entrance power outage, Agent P, but someone plugged a hairdryer into the wrong outlet."
Carl,"(entering with glossy hair) My bad, Agent P."
Major Monogram,"Anyhoo, authorities have found an unusual number of things turned on their sides. A John P. Trystate statue, a Mr. Dribbles ice cream, and there's a mailbox that fell over three weeks ago, and now it's upright again, which is ready to receive mail, so I guess that's a good thing. These sideways objects have Doofenshmirtz written all over them. Now I know you have a hard out at noon, so you can skip the pleasantries and go straight to thwarting."
Doofenshmirtz,"Ah, Perry the Platypus, how unexpected..."
Doofenshmirtz,"Wait, wait, wait! Whoa, whoa, wait, what, n-no trap? No monologuing? I-It's like you're no longer interested in a fully nuanced relationship! Okay, okay, behold, my turnover-inator! And n-no, it doesn't make delicious turnovers, but it could. It could. There's an attachment."
Doofenshmirtz,"No, the turnover-inator is to turn over the leadership of City Hall..."
Doofenshmirtz,"...and it will actually turn City Hall onto its side. Roger will slide out, and I'l run in and take his place. Unless he's lying down, at which point he will suddenly be standing up, and then he will become confused and run away. It's a win-win."
Candace,Oof! Just.. Aha!
The gang,(lovingly) Tropey McTropeFace.
Candace,"Wai-wai-wai-wait! It's vanishing already? It's barely nine a.m.! Ugh, whatevs. I've got a hard out at noon anyway."
Ferb,Now he belongs to the world.
Phineas,"(offscreen) Hey, Ferb, you comin'?"
Linda,"I'm a little busy here, Candace. If this is your daily call about your brothers, can I get a rain check?"
Candace,"Oh, pffft, it's not that. I mean, they did build something, but it's long gone already. No, I just had a question, what did you say I had to do for chores today?"
Linda,You promised to give Perry a bath. Aaah!
Linda,Hey! That's my umbrella! It's the Danville Mother Mugger! How do you even know I'm a mother?
Linda,"I dunno who I should be angrier at, the Mother Mugger or whoever built that giant zoetrope. That's dangerous."
Police chief,"Be on the lookout for the Mother Mugger! In hindsight, we shoulda had him take off his mask for the mugshot, but we work with what we got."
Police chief,"Well, well, well! What goes around comes around!"
Buford,"Man, these family reunions with our traditional custom of felling a tree together can get awfully tense."
Biffany,"Of course, we should start the tree chopping ritual now!"
Vanny Van Stomm,I vehemently disagree. We should cut it down in a little while!
Buford,"(grabbing a ladder) Hey, everybody, what say we put aside our differences long enough to enjoy this unexpected, comically large wheel?"
Buford,(in reverence) Tropey McTropeFace...
Biffany,Let's cut the tree down now!
Vanny Van Stomm,Yeah! It's a little while later!
Buford,(waving goodbye) It is the ephemeral nature of things (wiping away a tear) that make them all the more beautiful.
Baljeet,A touching sentiment.
Buford,Don't ya have anywhere else ta be?
Baljeet,I do not.
Man 1,"We lost our paddle wheel! Oh, without that paddle wheel, we're goners!"
Captain,"If we file every combustible substance at the back of the boat, and create a massive explosion, it may propel us forward."
Man 1,"But it may explode us, too!"
Captain,Everyone's a critic.
Man 1,(pointing up) Wait! What's that?
Captain,"Well, I'll be... Ow!"
Man 1,"We're okay! I mean, not great, obviously, but okay!"
Captain,"In retrospect, maybe we shouldn't have named the boat Explodey McSplodeFace."
Doofenshmirtz,"Hey, no fair! Now I can't reach my inator button!"
Doofenshmirtz,"Wait, it's not even noon and you're already leaving? What... What am I supposed to do for the rest of the day?"
Candace,"Okay, twelve o'clock. Let's get this over with. (Puts on her goggles.) Perry! Oh, there you are, Perry. Oh! And you're filthy!  This has got to be the highlight of your week, right? Y'know, cuz platypuses don't do much."
Perry,(chatters happily as Candace scrubs him down)
Linda,"Officer, I wanted to report— Oh! That's the man who stole my umbrella!"
Linda,Dink Winkerson? Disturbingly UV-sensitive host of Danville Today? But why steal umbrellas?
Dink Winkerson,"(getting cuffed and hauled away) Because every day, they send me out in the broiling sun to report on nonsense! I just wanted to be in the shade, lady! (as if he's on camera) This is Dink Winkerson (winks) being arrested!"
Farmer's Wife,You ordered ten tons of bread dough? How're we supposed to roll it out?
Biker,That zoetrope taught me how to love!
Doofenshmirtz,Time to turn this city on its head!
Norm,"On its head, sir?"
Doofenshmirtz,"Or technically, I guess, turn it on its side. Y'know, it just doesn't sound as good. You say, ""I'm gonna turn this city upside-down"", people get that. But ya say something about, ""I'm gonna rotate this city 90º""? That, that... that doesn't mean anything to anybody."
Phineas,Did you guys just hear somethin'?
Ferb,"It sounded like it might have been a large cylindrical object colliding with a huge flaming rock, sending them both careening into space. (Beat.) Or maybe just the building settling."
Dinosaur,"Finally, a new hospitable home planet."
Zoetrope Deity,It is not your time.
Doofenshmirtz,Finally! My hour of triumph!
Norm,Now I've been turned 90º.
Doofenshmirtz,Y'see? That means nothing!
Doofenshmirtz,"Curse you, inexplicably large and enigmatic zoetrope!"
