Name,Dialog
Baljeet,"Thank you, Phineas. (Cut to the dining room. The gang is gathered around the table in their pajamas.) In researching for my very first slumber party, in which I am so excited to stay up past my regular bedtime of 9"
Buford,You'll never make it!
Baljeet,"(getting out a binder) …I present to you the ultimate sleepover checklist! Movies, a pillow fight, ice cream sundae bar, some mores (s'mores)…"
Buford,"No, no, no, no, no! Ya gotta have pranks! Prank calls, Prank Sinatra, prank hand in warm water, stuff like that."
Candace,"(approaches the gang) All right, I am not dealing with you guys tonight. Stacy and Vanessa are on their way over and we're having our own sleepover with our own activities. Besides, you already built your wacky doohickey, (points to Mom) which you missed!"
Linda,Huh?
Candace,So I am officially off doohickey duty. (The doorbell rings. She gets the door and greets Vanessa and Stacy. She and Stacy scream at each other.)
Vanessa,'Sup?
Candace,(hugs Vanessa) I'm so glad you could come!
Vanessa,"Me, too! Well, my dad was also driving me nuts."
Doofenshmirtz,"Hey, Vanessa! Vanessa! Hey, Vanessa! Vanessa! It's ""Jingle Bells""! Listen! (He slams the cabinet doors to the rhythm of ""Jingle Bells"", but we only get so far as ""Jingle all…""; Vanessa sighs)"
Vanessa,"Yeah, so glad to be here."
Stacy,"(approaches the gang) Ooh, this looks fun!"
Candace,(to Vanessa) You remember my brothers?
Vanessa,"Yeah. Hey, guys!"
Phineas,Hey!
Candace,"(to Stacy) Oh, don't talk to the tiny ones. (pulls Stacy away and pushes her and Vanessa upstairs.) Upstairs for some real fun!"
Linda,"Okay. (yawn) There's snacks in the sink and dishes in the fridge. I'm just gonna have some chamomile tea, which knocks me out. (goes upstairs with her teacup) So you guys have fun."
Phineas,"Gentlemen and lady, start your slumbers! (The gang disperses except…)"
Isabella,"Hey, where's Perry? (Cut to Perry sleeping by the fireplace.) Oh, there you are. 'Night, Perry!"
Major Monogram,"(appears on his car's monitor) Agent P, we're gonna need you to pull an all-night stakeout over at Doof's."
Carl,"Where should I put the chips and dip, sir?"
Major Monogram,"The only dip here is you, Carl. Sorry, Agent P. Tonight's the finale of Acquaintances."
Major Monogram,"Having a little watch party. I'm so excited to find out what happens to Antonio or that conventionally handsome Ryan. Anyhoo, I'm sure you're seeing that giant megaphone there on Doof's balcony. He hasn't done anything with it all day, which is odd, as he—"
Doofenshmirtz,"(looks out his window) Is this a stakeout, Perry the Platypus? I-I see you. Just come up. We'll have a stake-in. Come on in. Come on up."
Major Monogram,Oops! Byeeeeeeee! (Hangs up)
Doofenshmirtz,"Ah, Perry the Platypus. Come on in, take a seat. I'm just looking for the right… Channel!! (laughs; He pushed a button on his remote and the chair's arms trap Perry.) Now that you're nice and comfy, I can prattle on about my improbable pet peeve."
Doofenshmirtz,"Every day, when I go downstairs to get my mail, my neighbor, Tyler, is down there spoiling the ending of every show to my other neighbors."
Tyler,…and then you find out he was faking his coma!
Neighbor,Hey! I haven't seen that episode yet!
Doofenshmirtz,"And now he's getting a rep as the most evil guy in our building! (Cut back to present. He is popping some popcorn.) A title that should rightly go to me! It's my name on the sign! It's my name up there! So it got me thinking, if he's the most evil by spoiling things to people in the building, what if I spoiled things to the entire Tri-State Area? Y'see, tonight is the two-hour finale of a very popular show, Acquaintances."
Doofenshmirtz,"Norm figured out how to get the Drusselsteinian VPN feed so I can watch it early. I'll find out the ending and then I'll go over to that giant megaphone and yell out all the spoilers to everyone! Who's the evil one now, Tyler? I know what you're thinking"
Baljeet,"Okay, first item on the checklist is to watch a scary movie."
Phineas,"Well, good thing we've got the ultimate movie-watching experience!"
Phineas,Ferb-vision! I know earlier we built one of our most amazing inventions ever.
Buford,We were all here. You don't hafta describe it.
Phineas,"You're right, but then Ferb threw this together before dinner."
Isabella,It's a twofer!
Phineas,"Inside the climate-controlled dome are comfy cantilevered seats, which react to what's going on in the movie."
Baljeet,(snores)
Buford,Baljeet!!
Baljeet,(jolts awake) I am awake! I am awake!
Phineas,"The best part, the base is made entirely of kettle corn, and it's constantly popping, so you can catch it in midair!"
Phineas,"Okay, grab your movie goggles, everyone!"
Candace,"I am so excited for some solid girl time with you guys tonight! I thought we could enjoy this charcuterie board, then play truth-or-dare, then watch a movie on my laptop!"
Stacy,"(looking out the window, sees the dome outside) Uh, maybe don't look outside, Candace."
Candace,What?! They're doing a twofer?!? Ugh! I'm getting Mom!
Vanessa,"C'mon, Candace, there's like a million other things we can do tonight besides busting your brothers. We can do anything! Well, anything but sleep."
Stacy,"Dress up in cloaks and monster masks, to give your brothers a scare!"
Buford,"Okay, but what about llamas?"
Candace,Did you hear what Jeremy said?
Stacy,"Buford, stop eavesdropping!"
Stacy,"Ooh, we can confess our deepest darkest secrets and emotions! Or whatever!"
Doofenshmirtz,"There's so much at stake,"
Doofenshmirtz,I gotta stay awake... OW!
Doofenshmirtz,I'm just resting my eyes!
Doofenshmirtz,Come on! It's the commercial break!
Stacy,"Wow, Candace, you didn't really take anything away from that, did you?"
Buford,"(to Baljeet) Okay, Sleepmaster General, it's 9"
Baljeet,I am insulted! I will have you know that I... (falls asleep and snores)
Buford,"Knew it! Prime for drawin'! (gasps) Even better, maybe I can borrow some makeup from Candace!"
Doofenshmirtz,"Okay, what'd I miss? Anything spoilery?"
Woman on TV,"Antonio, how could you do that terrible thing I don't need to describe?"
Doofenshmirtz,"Wait, who's this guy? Who's the guy with the mustache?"
Candace,"Okay, Stacy, truth or dare?"
Stacy,"Uh, truth."
Candace,What's the grossest thing that ever happened to you?
Buford,"Ladies, I was lookin' for some makeup to prank Baljeet, but I see now we're playin' truth-or-dare. Dare me anythin'. I only do dares."
Candace,(throws pillow at him) Get out!
Candace,"Vanessa; (catches pillow) Uh, wait! Not so fast. Okay, Buford, I dare you to dunk your head in the toilet."
Buford,That's how I style my hair. Think bigger!
Vanessa,"Okay, how about go downstairs and take a bite of Perry's food?"
Buford,I already did that when I came in. Next!
Vanessa,I dare you to let me give you a makeover. (boops Buford)
Buford,"Fine, but I'm an autumn."
Candace,"Ugh! Vanessa, just give him some blush and get him out of here. Stacy!"
Stacy,"Yo, Ferb, can that thing get the finale of Acquaintances?"
Man,(clears throat)
Ferb,"Indeed, but can you handle the 273K?"
Candace,No! Don't encourage him! Vanessa!
Vanessa,"(laughs) Buford, you look just like Queen Victoria!"
Buford,"Yeah, I'm pullin' it off."
Stacy,"Slay, Queenie!"
Candace,(finally snaps) That's it! I'm putting an end to this and getting Mom!
Stacy,"Candace, maybe it would be cool if we could all have fun together."
Candace,(murmurs) Mom....!!!!!!!!!!! (Runs out of the room)
Stacy,"Come on, Candace!"
Vanessa,"We dare you not to get your mom! (Candace has fled; to Stacy) Welp, if you can't beat 'em..."
Stacy,Join 'em in a hi-def circular dome TV?
Candace,"Mom! Mom, wake up! Wake up, Mom!"
Linda,(snores loudly)
Candace,"Wow, that chamomile tea really does knock her out."
Lawrence,"Well, pardon me, Your Majesty."
Buford,"'Sup, chief?"
Doofenshmirtz,"Hey! Perry the Platypus, how did you—"
Doofenshmirtz,"Why do I always use so much butter? (shakes the popcorn off, and lunges at Perry, but lies down on the chair Perry was sitting in) Y'know, I'm so groggy. That turkey really packs a punch."
Candace,"Mom, look outside! Wake up!"
Doofenshmirtz,Hey!
Doofenshmirtz,"Ow! Oh, I am awake now."
Candace,(grunts) Maybe… if I get you… outside…! (bumps into a ledge)
Perry,(chatters)
Doofenshmirtz,Perry the Platypus! How did you… (Perry pours the tea into Doof's mouth. He falls right back asleep. The inator is about to blow. Perry punches it in slow motion and it explodes out the window shooting off a beam.)
Candace,"Mom, look! You see that?!"
Linda,"Candace, is this some kind of ridiculous internet prank?! It's like, a thousand o'clock!"
Candace,But but but but...
Linda,And why is your father having a full formal English tea with Buford?
Lawrence,"Tea, Your Majesty?"
Neighbor,Did you see the finale last night?
Doofenshmirtz,"No, I fell asleep. I'll have to watch it tonight."
Tyler,(runs past) Antonio and Ryan found out they had a mutual acquaintance!
Doofenshmirtz,"(sighs) Curse you, Tyler the Spoiler!"
Doofenshmirtz,"No-no, we are not changing the jingle!"
