Name,Dialog
Phineas,A little bit more to the left. To the left of the pickles. Perfect!
Isabella,"Hey, Phineas! Whatcha do—Whoa! That's a lotta deli!"
Phineas,It's more than that! It's an actual submarine sandwich submarine. I can't believe we hadn't thought of it sooner.
Buford,"Oh, sure. Ya like this bread-related activity, but not mine!"
Baljeet,Are you still going on about that Bread Bowl Hot Tub?
Buford,"It's a looooong summer, and I am a patient man."
Linda,So I hope the sandcastle-building queen is ready to defend her crown today!
Candace,"Yeah, yeah, building castles made of sand. I know it's today, Mom, but I've got bigger fish to fry. The boys are building the biggest and stupidest thing in Phineas and Ferb history. Wait till you see this ridiculous overly literal monstrosity!"
Linda,"Candace, hey, hey! Don't let your thing with your brothers distract you! Not today! Your unlimited sandcastle potential is at stake!"
Candace,But but but but...
Linda,"Well, I'm heading to the beach now with my famous sub sandwiches. I'll see ya there, winner!"
Candace,"Oh, yea, you'll see me. And you'll also see what the boys are making!"
Phineas,And this is what the sandwich would look like in a storm.
The gang,Oooh...
Phineas,"But today, we're gonna plant our flag in the deepest part of the ocean."
Baljeet,The Mariana Trench! (falls over)
Buford,"Mariana Trench? Then we're gonna need trench coats, right?"
Isabella,(happily) Sounds exciting! (concerned) And dangerous!
Buford,"Oh, here we go! Li'l Miss Safety Patch strikes again!"
Isabella,Uh-uh-uh! (She unfurls her Fireside Girls sash.) Some would say I got most of these Safety Patches from pullin' your biscuits out of the fire.
Buford,I like my biscuits hot.
Isabella,"Anyway, we're gonna need high-pressure hull insulation, RADAR, SONAR, and a periscope."
Phineas,"Absolutely! Speaking of high-pressure hull insulation, where's Perry?"
Ferb,Intriguing segue.
Major Monogram,"Morning, Agent P, I—"
Major Monogram,"Wait, what? Why am I a sock puppet?"
Carl,"(offscreen) It's a filter, sir."
Major Monogram,"Well, turn it off! I hate it."
Carl,(offscreen) I dunno what button you hit.
Major Monogram,Why would this even be an option?
Carl,It was part of the bundle.
Major Monogram,"Okay, it's funny when it's you. Heh heh. I'm just gonna roll with it. (He holds up a plate with a sandwich with a bite out of it.) Agent P, Doofenshmirtz has been stealing people's food right off their plates. It's rude even for him. Clearly, his mom didn't teach him... (He throws the plate offscreen, it crashes and the traditional cat screech is heard.) ...a lot of things, which is why we all have a job. So get to it, Agent P."
Carl,"Eh, hold on, sir, I think I found the button."
Carl,Whoops!
Major Monogram,"(sighs) You're such a weenie, Carl."
Doofenshmirtz,"Ah, Pericles the Platypus! I-I dunno what ""Perry"" is short for, so I'm just trying stuff out. 'Til you tell me any different, Pericles the Platypus, that-that's your name. In the meantime..."
Doofenshmirtz,"It's the surf n' turf n' pus special. Y'see, you're the turf, and the lobster's the surf and... I guess you're also the surf, 'cause you're... you're semiaquatic and... Oh, never mind. Y'see, I'm stuck here waiting for my oven repairman who gave me a ridiculous window. And not this ridiculous window of me kicking an orange. Long story, don't even ask. I'm talking about a ridiculous window of time. From 5"
Doofenshmirtz,Ow!
Doofenshmirtz,"Ugh, turns out that wasn't actual food. But you get the idea, Periodontal the Platypus."
Doofenshmirtz,Blink twice if I'm getting warmer.
Phineas,Our sub should carry us deeper than anyone has ever been before. In meat.
Baljeet,And a little extra yeast in the baguette will increase our overall maneuverability.
Buford,And what's the science behind this?
Baljeet,Please save your questions till the end.
Buford,Is it the end?
Baljeet,No! And that is also a question.
Candace,Who are you?
Oven Repairman,"I'm an oven repair guy, but I've got time to kill. Nowhere to be until a week from Tuesday."
Candace,"(dials phone) Mom, Phineas and Ferb and some... oven repairman apparently are building a—"
Linda,"Honey, where are you? The sandcastle competition started."
Candace,"Something, uh, big came up, and, uh..."
Linda,"Please, honey, don't tell me this is about the boys. Is this about the boys?"
Candace,You just told me not to tell you.
