Name,Dialog
Announcer,"Please welcome today's lecturer, psychologist Dr. Mosley Shamai."
Dr. Shamai,"Esteemed colleagues, tonight, I make history. (He spreads his arms wide making the glass of water crash off the podium.)"
Candace,"I told you, my therapist is giving a talk!"
Linda,I'm so glad you're talking to someone about this. It's all—
Candace,"Come on, it's already started!"
Linda,Oh!
Dr. Shamai,"We've all heard our clients' claims of bizarre sightings across the Tri-State Area. UFOs, giant treehouse robots, and whatever this is."
Man in audience 1,"The Giant Floating Baby Head lives! (he opens his jacket to reveal a baby head T-shirt underneath as a security guard drags him away. He lifts his shirt up to reveal a Klimpaloon tattoo.) And so does Klimpaloon, the Magical Old-Timey Bathing Suit Who Lives in the Himalayas!"
Dr. Shamai,"Stories like his. Why is it that all of our patients believe these impossible claims? I believe I've found the answer. I present to you two clients, (Silhouettes of Doof and Candace appear on screen with red question marks over them) two complete strangers who seem to share the strange delusion. Or do they? Client one... (He changes the screen to show Candace with her eyes blacked out) a teenage girl convinced that her brothers are time-traveling space voyagers who build elaborate inventions that mysteriously disappear each day."
Candace,(chuckles)
Linda,(rummaging through her purse) Now where is that lip balm? What did I miss?
Dr. Shamai,"Client two, (flips to a picture of Doof with his eyes also blacked out) a self-proclaimed evil scientist whose inventions also disappear each day, allegedly due to a crime-fighting semiaquatic mammal in a fedora."
Man in audience 2,What?
Man in audience 3,Scoff!
Woman in audience,Show us.
Man in audience 4,(nickers like a horse) Uh-huh.
Dr. Shamai,"(laughs) Yes, I know. These bizarre claims sound like the ridiculous plot of a children's cartoon."
Dr. Shamai,But behind this curtain is weeks of research that will expose the truth!
Dr. Shamai,(laughs) They'll see! They'll all see! And to think it only started four weeks ago.
Doofenshmirtz,"...and once again, just as I was about to take over the Tri-State Area, Perry the Platypus hits the self-destruct button, foiling my evil scheme."
Dr. Shamai,"Clearly a symbol for your self-destructive behavior. And the platypus, an obvious metaphor for whatever's keeping you down."
Doofenshmirtz,"I'm not speaking metaphorically. Perry the Platypus actually came in wearing his little fedora and destroyed my inator every single day last sum—Hold on, I think I'm having a breakthrough! I think maybe—"
