Name,Dialog
Candace,Mom! Mom! Mom! Mom! Mom! Mom! Mom!
Linda,(mutters)
Candace,"Well, if you're not paying attention, we're having... chocolate donuts for dinner."
Linda,(does not look up) Sounds good.
Lawrence,"Ah, don't distract her, Candace. She was up all night trying to finish this book for her book club. But if we're having donuts, let's get the glazed ones, too. Ha!"
Adyson's Mom,Linda Flynn-Fletcher!
Linda,"Samantha Sweetwater! And hello, Adyson."
Adyson,Hi!
Linda,"Samantha, I know our book club meets tomorrow, but... The Lengthiest & Most Thorough Adventures of Lord Ramblington is really long, and I don't think I can finish it."
Samantha,"Oh, there's always a way, Linda. Take me, for instance. I just love to sit outside on my reading hammock and get lost in the pages. You just need to focus. The book is down here."
Linda,I feel terrible saying this...
Candace,Do it!
Linda,But I've always suspected Samantha doesn't read the books even though she says she does.
Candace,"Ooh! Spill the tea, Mom!"
Lawrence,Look! The Lengthiest & Most Thorough Adventures of Lord Ramblington has been made into a movie.
Candace,"(taking Dad's phone) And it opens tomorrow. (gasps) I bet Sweetwater will go see it and say she read the book. And if you do something like triangulate her movements against the movie schedule, you could bust her no prob."
Linda,(laughs) It's all so ridiculous. Who cares if Samantha read the book or not?
Samantha,"Looks like you have sixteen items in the ""15 items or less"" lane, Linda."
Cashier,"Yeah, what ya tryin' ta pull, lady? Get outta here."
Samantha,"Ooh, busted!"
Linda,(to Candace) I will do whatever you say.
Candace,"Okay, Mom."
Candace,"(cont'd) Before I take you through my six-step plan to using this model of our neighborhood, I'd like to go over some pre-busting basics."
Linda,"Honey, normally, I'd prefer you put this energy into something more... productive..."
Linda,"(cont'd) ...but today, I'm excited to spend the whole day with you!"
Candace,"The whole day doing exactly what I say! Okay, to get you into the mindset..."
Candace,"(cont'd) ...sometimes I get what I call a ""busting tingle""."
Candace,"The feeling that the, uh, bust is a-brewin'. Phones down! I need you to take this seriously, Mother! Now raise your right hand. You're gonna take the Busting Oath."
Linda,"Oh, Candace."
Candace,"(raises Linda's right hand for her) ""I do solemnly swear..."" Come on, Mom!"
Linda,"I do solemnly swear... (The house rumbles.) Do you hear that? It sounds like someone is building something, like, in our yard."
Candace,"Ugh! (slaps herself) There are too many distractions around here! Let's just get out in the field. Here, take this big bag of busting basics."
Linda,"""Busting basics""?"
Candace,"You know, you know. Disguises, lip balm, sledgehammer. (pushes her mom out the door) Let's go, go, go, go, go, go, go!"
Candace,"So, as I was about to explain... Seatbelts, Mom!"
Linda,"Oh, right! (buckles up)"
Candace,Step one is intel. Like does Mrs. Sweetwater's book look like it's been read? We're heading to her house now.
Candace,"No phone! Do what I say! Now, I happen to know that Adyson has an archery lesson at noon, and Mrs. Sweetwater will drive her there."
Linda,And how do you know that?
Adyson,"On Thursdays, I have archery lessons at noon! My mom drives me!"
Candace,"(uninterested) Cool story, Adyson."
Candace,"Mrs. Sweetwater should've left her house by 11:45, so the coast will be clear."
Linda,What is that on the road? Guacamole? That's something you don't see every—
Candace,"Focus, Mom!"
Linda,Is this guacamole?
Candace,"Make use of your surroundings. Keep up, Mom!"
Candace,"Okay, Sweetwater let us know she likes to read outside, and... Bingo! There's the book."
Candace,Ugh! You and your phone! (takes the phone) I'm turning this thing off! (She does so.) Here. (Gives Mom a pair of binoculars.) You look through these and tell me what you see.
Linda,I don't...
Linda,Ooh! That's better. Very interesting.
Candace,(gasps) What's the intel?
Linda,Samantha's roses are coming in so nicely.
Candace,"No, Mom! The book!"
Linda,"Okay, hmmm... (gasps) The book spine is barely cracked and the bookmark is only a few pages in."
Candace,Yes! So we know she hasn't read it!
Candace,What?
Linda,"That's pretty impressive, honey!"
Candace,"Well, what do you mean?"
Linda,You've really developed some skills!
Candace,Thanks! I've had a lot of practice.
Irving,Candace? Candace's Mom? Is that you?
Irving,What are you guys doing down there?
Candace,"Ugh! Irving, keep quiet! Wait! That treehouse could be a good vantage point for my step two. Irving, you're on the team!"
Irving,(gasps) Finally!
Candace,"Mom, climb up."
Linda,Is this really what you go through every day? It's a little intense.
Candace,Welcome to my world.
Man,Hey!
Irving,What a coincidence! I was just pursuing my scrapbook of every invention your—
Candace,"Yeah, yeah, yeah. That's great, Irving."
Linda,"Oh, look at that giant balloon dancey-guy thing. That's really something. That's gotta be 500 feet tall. I wonder who—"
Candace,"Mom, pay attention!"
Candace,Raise your arms.
Candace,Step two: infiltrate!
Linda,Whoa! Now what?
Candace,Step three: investigate! Just scope the perimeter to find clues!
Linda,"This is probably illegal. (looks down) Those roses really do look good. (gasps) Artificial? No. One bust at a time, Linda."
Candace,What? Sweetwater's back? What about Adyson's archery lesson?!
Irving,Rescheduled.
Candace,How do you know that?
Adyson,My Thursday archery lesson got rescheduled!
Irving,"(happily) Cool story, Adyson!"
Candace,Let's reel her back in!
Linda,"Oh, biscuits! What do I do now?!"
Candace,Step four: improvise!
Linda,(yells)
Irving,Awkward...
Candace,Whoa!
Candace,"Um, I'm not sure that rope will hold your combined..."
Irving,...body weights.
Linda,and **Candace**: Run!
Linda,"I got a clue! As I was careening past her window, I saw Samantha checking movie schedules on her phone!"
Candace,"You did what I said and got a step three clue! Mom, are you getting the busting tingle?!"
Irving,Ow.
Linda,"Well, something's tingling, but I think it's this holly bush."
Irving,"What's next, team?"
