Name,Dialog
Narrator,"First, there was Football X-7, then Hockey Z-9, but there was an obvious alphanumeric gap between them, so get ready for..."
Phineas,Croquet Y-8!
Baljeet,Huh. Finally the opportunity to show off my mad mallet skills!
Ferb,"If opportunity doesn't knock, build a door. Or a hoop with a portal."
Buford,"Fine, but we're doin' Demolition Derby G-48 tomorrow!"
Jeremy,"Hey, you guys seen Perry?"
The gang (including Ferb),In the house.
Buford,"What's next? Stacy shows up and asks, ""Whatcha doin'?"""
Candace,"(offscreen) Perry? Perry, where are you?"
Candace,"There you are, my monotreme mon ami."
Major Monogram,"It's just a hat, Carl. Why is it just a hat? Do you think he's invisible?"
Carl,Then wouldn't his hat be floating?
Major Monogram,Or maybe he's a ghost.
Carl,"Well, the hat would still be floating, right?"
Major Monogram,"They can't interact with the material world, Carl. Use your head!"
Candace,"Alright, Jeremy. Perry and I are all ears. I mean, we're not like all ears. (chuckling) I mean, imagine if we were all ears! Just covered in ears! Like, we can hear out of our elbows! (chuckles, whispers to herself) Candace, you're weird! (out loud, to Jeremy) So what's the sitch?"
Jeremy,I need you and Perry for a summer school project for college credit. It's a zoology course.
Candace,"(looking out the window) Uh-huh, great. A documentary about zoo college."
Jeremy,"It's a day in the life of an exotic animal, and Perry's the most exotic animal I know. So it's you and me documenting Perry all afternoon."
Candace,"(still looking out the window) Great, sounds like a plan. I'm in."
Jeremy,"Are you sure, Candace, 'cause it looks like you may wanna bust your brothers."
Candace,"No-n-no-no, I can multitask. I can bust the boys while we document Perry. No prob."
Jeremy,Great. Just need some assistance with this equipment from the car. (exits)
Candace,"You got it! Assistant/producer/girlfriend at your service! (she puts Perry back in his bed) All right, Perry, stay put. Don't do much. Y'know, like you usually don't do."
Jeremy's voice,Documenting Perry's life all afternoon... afternoon... afternoon...
Candace,"(offscreen) Places, people, places!"
Candace,"All right, Perry. Let's do this!"
Major Monogram and Carl,Phew!
Major Monogram,"Thank goodness you're here, Agent P! What kept you?"
Major Monogram,"Oh, you had to use an emergency Perry-bot as a decoy."
Carl,"Aren't you a little concerned, sir, about all the previous models being recalled due to mechanical failure?"
Carl,"I estimate you got about three hours, give or take, before your bot goes smoke, boom, spaghetti."
Major Monogram,Great googly moogly! That would blow your cover with your host family!
Major Monogram,"Well, I'll keep it brief. Doof is getting into some farm-related shenanigans, and no good has ever come from a mad scientist taking up animal husbandry. Go get him, Agent P!"
Carl,In less than three hours!
Echo,Three hours! Three hours!
Major Monogram,"Carl, is that why I signed an invoice for an echo machine?"
Echo,Machine? Machine?
Doofenshmirtz,"(offscreen, muffled) Welcome, Perry the Platy— Off, off! (A pile of sheep uncover Doof dressed as a shepherd.) I bet you're wondering why I'm depressed as a traditional Drusselstinian shepherd, right? Well, that's because sheep are a part of my latest dastardly plan! Also, I've started taking up knitting. I made this adorable sweater for you."
Doofenshmirtz,"The stitching took twice as long as the online tutorial said it would, but... Uh, it's a little big on you, but we can fix that."
Doofenshmirtz,"(laughs) There you go, much better. Now you look like an adorable duck-billed baby. A trapped, adorable duck-billed baby. That's you. (tickles him) Coochie-coochie-coo! Ah, yes, the eternal question, Perry the Platypus, do you even sheep, bro?"
Doofenshmirtz,"(voiceover) When I was a lad, I had trouble sleeping, so my parents told me to try counting sheep..."
Doofenshmirtz,(cont'd) ...which is weird and not helpful.
Doofenshmirtz,"(voiceover) I mean it's not as weird as counting counter-topped whittling crabs to get rid of leg cramps, but still, you get the idea. Granted we had a lot of sheep for accounting purposes, but it just never really worked for me."
Doofenshmirtz,"But counting sheep does work for a lot of people. Hence, and behold, the thing that you're already beholding, my Go-to-Sheep-inator! Lookit, Perry the Platypus, this is my favorite part. The inator rehydrates sheep from a packet of dehydrated sheep that I ordered off of a Drusselstinian website."
Announcer,"Dehydrated Sheep! Just add water and watch them grow! It's fun, it's easy, and profitable!"
Doofenshmirtz,"My plan is to give everyone all the sheep they can count, putting all of Danville to sleep, allowing me to take over the... What? What? You're giving me that look. You no likey? Y'know, they can't all be gems, Perry the Platypus. (sighs) You really know how to take the wind out of a guy's sails, you know that?"
Doofenshmirtz,"Hey, what? No! The scheme wasn't that bad!"
Doofenshmirtz,"Hey, I knitted that!"
Doofenshmirtz,"No fair! You distracted me with implied criticism! Aha! (he pushes the button activating the inator) Count the sheep, Perry the Platypus! Count the sheep and go to sleep..."
Doofenshmirtz,Count the she— Whoa!
Doofenshmirtz,"Well, this is an unexpected escalation. Ride 'em, sheep boy!"
Perry-Bot,(chatters)
Jeremy,"Ooh, and apparently, monotremes chitter every ten seconds. (to Candace) Mark that down."
Jeremy,"Oh, hungry little guy? Let's get some footage of Perry eating. (Pull out to reveal Candace not there.) Candace?"
Candace,Gotta call Mom!
Candace,"Wait, where are they?!"
Echo,They?! They?!
Jeremy,"Candace? Hey, Candace!"
Candace,"Oh, yeah, yeah, yeah. I'll be right there."
Jeremy,I need help finding his food.
Candace,"Oh, right. Food. Yeah, he likes that. I'm coming!"
Candace,"Sorry, Jeremy, I got distracted. I know. Let's up the production value. Come here, Perry, it's showtime! (pours the food into the dish) I got this multitasking thing down. (She looks out the window, but the food falls onto the floor, missing the dish. The Perry-bot dives into the food.)"
Jeremy,A well-balanced diet is vital to the health of any semiaquatic mammal.
Jeremy,"I don't think he likes it! Do all platypi do that, or is that a Perry thing?"
Candace,"(spying on the backyard through binoculars) No, platypuses don't do much."
Jeremy,"Perry, wait up! Candace?!"
Candace,"You got this, Jeremy!"
Doofenshmirtz,Get back here!
Doofenshmirtz,"(activating the inator) Hey, Perry the Platypus, did you know that the plural of ""sheep"" is also ""sheep""? Isn't that boring? What about ""sheeps"", or ""sheepuses"", or ""sheeples""?"
Doofenshmirtz,"Have as many sheeples as you want, Perry the Platypus, I can always make more! (laughs)"
Doofenshmirtz,"Wait, wait, wait! Stop flocking towards me! You're not supposed to flock in such a spherical manner!"
Candace,Ow! Mom... Ow! I'm... Ow! Jeremy... Ow! On the way... Ow! Are building... Ow! Croquet... Ow!
Jeremy,"Huh, this is behavior we've never seen before."
Candace,Ow!
Linda,"Uh, you okay there, hon?"
Candace,"Yeah, I mean, it's cool. I got this, though. Jeremy and I are working on his Perry film project. Also, the boys have a project you should see."
Linda,"Oh, did you say you were doing a Perry movie? This I have to see. I'm on my way. (She drives off.)"
Candace,Yes!
Candace,What? J-Jeremy?!
Jeremy,"(coughs) Oh, do all platypi emit smoke like this?"
Doofenshmirtz,Hey!
Doofenshmirtz,"Hey, my sheep! My yarn! My inator!"
Doofenshmirtz,"(grunting) Now, now, how is this supposed to put anyone to sleep?!"
Doofenshmirtz,"Oh, I see. Oh, I see. You're re-dehydrating them. Okay, good. But wait, but you missed this ball!"
Doofenshmirtz,"Well, all's ""wool"" that ends ""wool""."
Doofenshmirtz,"Wait, a little help? Curse you, Perry the Platypus!"
Candace,"Mom'll be here any minute. (She runs back toward the backyard door.) I can do it all! I'm a multitasking master! Ugh. Actually, I think this multitasking thing is overrated. (sits on the couch) It's too many taskings."
The gang,Croquet Y-8! YEAH!
Phineas,Croquet just needed a few well-timed portals and pyrotechnics. Who knew?
Baljeet,(screams and points upward) Sudden sheep! And they're flocking this way!
Buford,"Wow, that's a lotta sheeples!"
Baljeet,"Seeing as there are 34 sheep in the circumference, if we calculate the sheep radius and multiplied by y divided by 3πr², you would get... (falls asleep on the ground, snoring.)"
Ferb,589 sheep. (He too falls asleep.)
