Name,Dialog
Baljeet,"Hello, Buford, I hear you are under the weather and I have just the thing to cheer you up."
Buford,(sighs) Not that lame sci-fi show you obsess over. Space Adventure?
Baljeet,It got me through hoof and mouth disease. And I have already downloaded my favorite episode.
Buford,Hard pass! I'd rather wallow in misery.
Baljeet,Too bad. You are a captive audience and cannot leave. Here goes!
Captain Dirk Mortenson,(voiceover) Diary of Captain Dirk Mortenson
Sophia Sharkboard,"Cadet Sophia Sharkboard, captain."
Dirk,"Right. Welcome aboard. You've met everyone? Second-in-command, the fierce and determined Lieutenant Zarna, Nosh, the 17th best pilot in the galaxy..."
Nosh,(roars)
Dirk,"Oh, right. 19th. And there's our security officer, Lomond, master of the profound mystical arts of... Schlufbaum's Luck."
Lomond,Oof!
Sophia,"Nice to meet you, but this is a mistake. I'm just an intern. I shouldn't be navigating."
Dirk,"Calm down, noob. You've got decent grades and we need a navigator, case closed. Now, status report, Newbie Navigator!"
Sophia,"Uh, we're approaching the Honey Badger home planet."
Dirk,Deploy the harmless asteroid camouflage.
Dirk,"We'll take a shuttle and sneak aboard the command station where they keep their secret plans. Nosh, Zarna, Lomond, you're with me! (to the robot) DSL-4, you're in charge."
DSL-4,(beeps)
Dirk,Okay. Only one officer between us and the plans. We gotta take him out quietly.
Dirk,"Zarna, Zarna! (Shakes his head) Not again. Three times since we snuck aboard is enough. Plus, I think you enjoy it a little much."
Zarna,"I enjoy it just enough, thank you."
Dirk,"You have a problem. Lomond, try using those powers of yours to knock him out with something."
Lomond,"I don't think I can, sir."
Dirk,You can do it.
Honey Badger Guard,My stuff! What the—?!
Dirk,Whew! Thank goodness for my patented Mortenson chop.
Zarna,"(types) I'm in. Accessing plans. Captain, their first target is listed here. It's... Earth!"
Dirk,"Earth?! Again?! Of all the planets in the galaxy, of which there are many, why is it always Earth? Okay, we've gotta get these plans to the Space Fleet so they can find the weakness and stop that spike. Let's go."
Tech Officer #1,"Hey, you janitors aren't supposed to be in here!"
Dirk,(sighs) Go ahead.
Dirk,"Newbie Navigator, any sign they've detected the Minotaur?"
Sophia,"None, sir!"
Dirk,"Set a course for Earth, Nosh!"
Dirk,"Aw, I just thought of something really cool we could do right now!"
Zarna,Not that.
Dirk,Execute the Galaxy Famous Mortenson Victory Flyby!
Dirk,"(taunting) We've got your plans! Bite me, Honey Badgers!"
Buford,Wait! They got away undetected?! Why would he come back like that?!
Baljeet,Because it was cool!
Caption,The Safehouse Nebula - 2 Hours Later
Dirk,Lucky we lost the Honey Badgers. Mission accomplished.
Zarna,Was that really necessary?
Dirk,"You're not still carrying on about the Mortenson Victory Flyby, are you? You know us Earth men. (dances) We gotta celebrate life's wins! (Turns to Lomond, who is concentrating on lifting rocks with his mind.) Lomond, can you sense if the Honey Badger— (Lomond breaks his concentration.) Dah! Hey! I thought we talked about you keeping those rocks on the bridge."
Lomond,"Sorry, sir. I'm still learning the ways of Schlufbaum's Luck. I—"
Dirk,"Okay, okay, okay. See if you can use that Schlufbaum's Luck of yours and detect the Honey Badgers' fleet out there."
Lomond,"I will try, sir. (struggles)"
Zarna,Why not use the ship's sensors?
Dirk,"Lt. Zarna, Schlufbaum's Luck is a power that goes back to when the universe was young. We can't turn our backs on—"
Zarna,Already picking up the incoming Honey Badger fleet.
Dirk,Do you sense the Honey Badger fleet?
Lomond,No.
Zarna,Sensors read twenty Honey Badgers ships.
Lomond,"I am sensing... evil. But the universe is a dangerous place, Captain, I kind of sense evil all the time. Wow!"
Lomond,"Sir, I'm sensing the Honey Badger fleet approaching!"
Dirk,"Nice work, Lomond."
Commander Rrrrrg,Captain Dirk Mortenson!
Lomond,(yelps)
Dirk,Lomond!
Lomond,"I'm sorry, sir, it's—"
Dirk,"He's not here in the room! Commander Rrrrrg, what can I do for you?"
Commander,"Captain, your crazy maneuver scared the dickens out of our techs! I should blow your ship to bits, but I'll cancel that and the spike launch if you just apologize."
Dirk,"Commander Rrrrrg, you don't apologize for doing something cool."
Commander,"Mortenson, you fool! You have 49 seconds to reconsider apologizing or we're blowing your ship to bits!"
Dirk,Not gonna happen.
Sophia,"Captain, couldn't we try firing all our space torpedos and take our chances escaping?"
Dirk,"No, we could fire all our space torpedoes, but their shielding is too strong. It would only anger them! Nosh, did you fire all our space torpedoes at them?!?!"
Dirk,"Nosh, did you?"
Nosh,(shrieks in confirmation)
Dirk,It says here we have zero torpedoes left.
Nosh,(shrieks)
Dirk,"No, Nosh. I don't think we forgot to bring torpedoes on the mission."
Commander,"(back on screen) That's what you get for firing on us, Captain! Now prepare to be destroyed! You may have 49 seconds to say goodbye to your crew. Or, maybe, you could just say sorry to these two and we could forget the whole thing."
Dirk,Not gonna happen. (Turns screen back off and goes to his chair) We've got to get these plans to Earth. (Presses a button on his chair) Chief Engineer Hondu...
Dirk,(on speaker) ...engine status.
Hondu,"I'm doing what I can to repair them, but that last sonic blast damaged our engines. We won't outrun them!"
Dirk,"Then we'll have to escape using a course so dangerous the Honey Badger fleet wouldn't dare follow. Newbie Navigator, set course 23/49-23!"
Nosh,(shrieks in fear)
Zarna,(gasps)
Sophia,"But, Captain, that will take us straight through—"
Dirk,"That's right, Newbie Navigator! (dramatic closeup) The Giant Space Worms Nebula! Nosh, full engines! Go!"
Zarna,The Honey Badgers are slowing down.
Zarna,"Captain, I'm counting... a lot of giant space worms. We are sure to be eaten."
Dirk,"If we hold this steady course, we might slide through unnoticed."
Sophia,"Captain, can we use the laser cannons on it?"
Dirk,"The outer layer of the worm is too strong. The only things effective against them are... (yelling, at Nosh) SPACE TORPEDOES!!"
Nosh,(shrieks)
Dirk,"Lomond, can you use your Schlufbaum's Luck telepathy to tell the Space Worm we mean no harm?"
Lomond,"I will try, sir. (struggles) Making... (struggles) Contact! (struggles)"
Lomond,Oops!
Dirk,"""Whoops""?"
Lomond,"Well, it might've heard me think that it should not eat the ship, uh, because it's already too fat..."
Lomond,"I'm so very sorry, Captain! I just... (to a spiritual vision) Master, when will I learn to control my thoughts?"
Dirk,"(getting rid of the vision) Lomond, I thought we talked about having space ghosts on my bridge! We're gonna have to escape using a course so dangerous, the Honey Badger fleet and space worms wouldn't dare follow! Newbie Navigator, set course 23/42-27."
Nosh,(shrieks in fear)
Zarna,(gasps)
Sophia,"But, Captain, that will take us straight through—"
Dirk,"That's right, Newbie Navigator! (dramatic closeup) The Giant Razor Crystal Asteroids with Volcanoes Nebula!"
Zarna,"The Honey Badgers and Space Worms are slowing down, Captain!"
Sophia,"Look, Captain!"
Lomond,It's some kind of hidden city!
Dirk,My word! It's the Merlorian Ambush!
Nosh,"(shrieks and pushes buttons on his control panel, setting off the ship's lasers destroying the buildings)"
Dirk,"Nosh, no, no, no! Stop firing! Stop! ""Ambush"" is the Merlorian word for ""hidden city""! The Merlorians are mostly harmless!"
Zarna,"Captain, I'm reading 50 Merlorian warships powering up engines."
Dirk,"""Mostly""."
Nosh,(shrieks in sorrow)
Dirk,For five more minutes. Don't push your luck or it'll be ten! I sure hope the Scorpion Collective doesn't learn of this.
Sophia,"Why not, Captain?"
Dirk,"They hate the Merlorians and vow to be the ones to destroy them. If they even heard that we shot at them, it would be—"
Zarna,Picking up the entire Scorpion Collective fleet heading straight at us!
Dirk,How could they even—
Sophia,"(giving her phone to Dirk) Better look at this, Captain."
Dirk,"(reading a meme) ""Feeling sad on a timeout for firing on the Merlorian hidden city""!!!! Nosh!!!"
