Name,Dialog,Category
Buford,"What? I didn't take nothing out of nowhere. But, uhm, just as a hypothetical. Uh... What do you think would happen if say you took that goofy doohickey-thing out of the thingamawhatsit?",? 
Buford,"Look, some people tend to think I'm a bit harsh with these guys. But here's how I see it. DISGUSTING! UTTER GARBAGE! RAW SEWAGE ON A PLATE! It's really all about nurturing the talent.",Relationships
Buford,"Don't get too excited. I'm goin' to film school. I'm concentrating on tragedies. The story of a struggling orphan's transcendental search, for meaning in a post-apocalyptic society.",Philosophy 
Buford,"You know it's kinda nice to sit back and relax after all that manual labor. Uh-oh. Ahhhhhh! I've got a song about how Van Stomms fall from the sky too, but, it doesn't end well.",?
Buford,"What? No! I'm not gonna eat my friend. You're the best thing that's ever happened to me! And the third best thing that's happened to Volley-Baljeet, right? ""My face is blood.""",Relationships 
Buford,"And if by ""zoetrope"", ya mean a 19th century optical toy consisting of a cylinder with pictures on the inner servers that produce the illusion of motion, I'm not impressed.",Science 
Buford,"I've completely protected their invention from airplane snags, stray balloons, meteorites, flocks of wild gazelles, and giant cracks that form in the crust of the Earth.",Info dumping
Buford,"Tristan is not a flamingo, he's from outer space, and he's a whalemingo. But then he had to go home, and I never saw him again. Hey! What are you doin' with your hands?",Info dumping 
Buford,"And then you do this, and this, and this and this and this and this and this, and this, and this, and this, and this and this, and then this and this, and then that.",Philosophy 
Buford,"And that's how I won my goldfish. I named it Biff, after my mother. It was the happiest day of my life. I finally had a friend. But then I met the local bully.",Relationships 
Buford,"Okay, the throwin' was good! But when you grabbed my shirt, you didn't twist!! I swear, it's like in one ear and right out the other! Oh, oh! Baljeet, wait up!",?
Buford,"I think about you often, whalemingo. Especially when I've had spicy tacos just before bed. And your feathers, they tickle me in my dreams. Tristan! Tristan...",Food 
Buford,"Not hardly. I swiped this bad-boy from the orthodontist's section, to cut off stuff sticking out of the ride that could snag a passing plane as they go along.",?
Buford,"I always knew it would end like this. Like, specifically like this. Me being dragged off by the tentacles of giant sentient brains that used to be my friends!",Relationships 
Buford,"You got this, Candace! Don't get nervous and make a series of bad decisions that cause you to fail your driver's test and haunt ya for the rest of yer life!",?
Buford,"What's wrong with him? I feel like we've been hanging here for weeks. I mean, I got the brawn for it, but it's not like I don't have other stuff to do.",?
Buford,"""I only wanted a life, friends, family. And when I saw your friends, Candace, I saw you had everything anyone could want. I didn't wanna give that up.""",Relationships
Buford,"So then the seamstress walks back into the stateroom and says, "" 'Titanium'? I thought she said 'cranium'!"" Hahaha, yeah. Pretty good punch line, huh?",?
Buford,"That's good, 'cause I still got ya number! Or would that be 'numbers'? I don't know. Hey, Baljeet, which one would be grammatically correct? How rude.",?
Buford,"How should I know? They never showed up for me to return serve. That's considered a forfeit in catapult badminton, so I went to get some Victory Gum.",Info dumping 
Buford,"Teddy Boo Boo! Where have you been, you bad bear?! I bet you've been on the road again, haven't you?! Well, you're grounded, mister! Oh, I love you!",?
Buford,Ya know what I hate about The Unclimbable Mountain of Unclimbableness? Just to get there you have to cross the Uncrossable River of Uncrossableness.,?
Buford,"Oh, sweet, sweet closure. Maybe we'll even find the last shard, or face the Puzzle Master, or discover the identity of the man in really dark grey!",?
Buford,"Now they're headed for the junkyard. From whose gravitational pull, it'll be impossible to escape. Am I thinkin' of a junkyard, or something else?",?
