Name,Dialog,Category
Buford,"'Cause cheese is cool no matter how you slice it! What, am I provolone on this?",Food 
Buford,"Sure, you get the fun part. If I wanted to oil feet, I could've stayed at home.",?
Buford,And I'll be the great Achilles. And I'll be all; 'Wham! Zam! Stab! Stab! Stab!',?
Buford,Wait a minute! What happened to that spiky thing?! What happened to the Earth?!,
Buford,"I'd better not taste any chicken then, loser. All right, you survive. For now.",Food 
Buford,"I will empty my mind of all thought, except for Baljeet. There, that was easy.",relationships
Buford,Leg of carrot! What? Your carrots don't have legs? Where do your parents shop?,Food 
Buford,"Hey, the epic struggle of a triangle-headed boy to choose between two schools.",School 
Buford,A poor man's Edgar Allan Poe. Who added bugs to mask all the borrowed imagery.,Philosophy 
Buford,YEAAAAAAAHHHHH!! WHOA! YEAH YEAH YEAH YEAH!!!! DREAMS DO COME TRUE!!! WOOHOO!!,Philosophy 
Buford,"Regardless of how got here, we gotta eat to survive. So it's back to the hunt!",Food 
Buford,"Sure, it's like when you have two sets of keys. And you keep one in your car.",Philosophy 
Buford,"Yeah, right next to a box of scorpions, which is what I wanted to bring over.",Info dumping 
Buford,I guess my pizza orders isn't goin' in. WON'T SOMEONE THINK OF THE BUFORD?!?!,Food 
Buford,"Yeah. Because it's boring. Whereas a Bread Bowl Hot Tub, on the other hand...",Food 
Lion-Tiger-Bear Guy (Buford),"He's right. There's a zipper right back here. Hey, let me get that for you.",Relationships 
Buford,It is the ephemeral nature of things that make them all the more beautiful.,Philosophy 
Buford,"Oh, man! I've never been so happy when it wasn't at someone else's expense!",philosophy
Buford,And then uses the last shard of Darkling Tower to defeat the Puzzle Knight!,Info dumping 
Buford,All right. How about I give you back your bike I took when we were little?,Relationships 
Buford,"""Love is a canvas furnished by nature and embroidered by the imagination.""",philosophy 
Buford,I am to metaphor cheese as metaphor cheese is to transitive verb crackers.,Food 
Buford,"I don't know, I kinda like her like that. She looks like Cand-berry sauce.",Food
Buford,"No no, I'm in! I'm in! I don't wanna play alone. I'll turn into a cat-kid.",Relationships 
Buford,I'll bet he's hungry. I totally sound like that when my blood sugar's low.,Food 
Buford,"Look, I just lost my nerd! I'm not gonna lose the rest of my friends, too!",Relationships 
Buford,"Oh, okay. Let's focus on what Phineas and Ferb wanna do. We never do that.",P and F 
Buford,"But, Chowdina, you cant't go! You're my bread bowl hot tub! And my friend.",Relationships 
Buford,Lemme say it! Lemme say it! Bread! Bowl! Hot tub! It's finally happening!,Food 
Buford,Buford is doing great! I just hope we'll be able to find my friend Biff.,Relationships 
Buford,"Ohh, I have disappointed you, Little Master. I will strive to do better.",Relationships 
Buford,"There you go, little buddy. You're all safe now. Let's get out of here.",Relationships 
Buford,I'd like to see a shark! I hear they're the toughest fish in the ocean.,Info dumping 
Buford,And that's what would happen if we grew magnets under the Earth's core.,Science 
Buford,Whoa! That's funky! Doze are da weirdest-lookin' plants I've ever seen!,Info dumping 
Buford,What? Your Mom wants a super computer? What is she? Some kind of nerd?,Science
Buford,"Well, there's so many people behind the scenes that deserve a mention.",Relationships 
Buford,"Yeah, and ours has red pepper flakes and little tubs of grated cheese.",Food 
Buford,"I knew you'd rise to the occasion, pal. You just needed a little push.",Philosophy 
Buford,You're not on the list. You should have made a reservation yesterday.,Info dumping
Buford,And I'm down to my last potato chip! Better make this bad boy last...,Food 
Buford,Wow! I totally thought that shadowy figure was gonna be Slamm Hammer!,Info dumping 
Buford,"Eh, could use a little somethin' more. Dere it is, but where's Perry?",Food 
Buford,"I'm just workshoppin' this okay? Here, for scale. Bread Bowl Hot Tub.",Food 
Buford,"Hey, Dinnerbell, that was the best battle ever. Same thing tomorrow?",Food 
Buford,"Hey, maybe you could make an hourglass and watch the time slip away.",Philosophy 
Lion-Tiger-Bear Guy (Buford),"Alright!! I'll take something! Ooo, a ham sandwich. I did want that.",Food 
Buford,"Beatrice, no! You gotta stop doin' that! You're making this so hard!",Relationships  
Buford,Now those are some transportational logistics that I can get behind!,Science 
Buford,"Hey, guys, the only thing that would make this show better? Popcorn!",Food 
Buford,"Don't worry, little ducky thing, we're gonna take good care of you.",Relationships
Buford,"I'll just fluff up your pillow, then! Little Master? Little Master?",Relationships 
Buford,"Either way, you might want to put on some waterproof undergarments.",Info dumping
Buford,"Yeah, and maybe we can pick up some Greek frozen yogurt on the way.",Food
Buford,"Just remember, Baljeet, the captain always goes down with the ship.",Philosophy
Buford,"Dis is awesome! I feel Mom power! Go to your room! Oh, what a rush!",Relationships
Buford,"Funny, I noticed none of the ladies in your family like to look up.",Relationships
Buford,"Move over, nerd. This is a job for brash, unthinking muscle. Oops.",Relationships
