Name,Dialog,Topic
Buford,"You got this, Candace! Don't get nervous and make a series of bad decisions that cause you to fail your driver's test and haunt ya for the rest of yer life!",Relationships
Buford,"What's wrong with him? I feel like we've been hanging here for weeks. I mean, I got the brawn for it, but it's not like I don't have other stuff to do.",Image
Buford,"(translating) ""I only wanted a life, friends, family. And when I saw your friends, Candace, I saw you had everything anyone could want. I didn't wanna give that up.""",Relationships
Buford,"So then the seamstress walks back into the stateroom and says, "" 'Titanium'? I thought she said 'cranium'!"" Hahaha, yeah. Pretty good punch line, huh?",Relationships
Buford,"That's good, 'cause I still got ya number! Or would that be 'numbers'? I don't know. (Candace enters, grabs both Baljeets and leaves.) Hey, Baljeet, which one would be grammatically correct? (Gasps as he suddenly notices that both Baljeets have disappeared.) How rude.",Relationships
Buford,"How should I know? They never showed up for me to return serve. That's considered a forfeit in catapult badminton, so I went to get some Victory Gum.",Infodumping
Buford,"(happily) Teddy Boo Boo! (angrily) Where have you been, you bad bear?! I bet you've been on the road again, haven't you?! Well, you're grounded, mister! (happily) Oh, I love you!",Relationships
Buford,Ya know what I hate about The Unclimbable Mountain of Unclimbableness? Just to get there you have to cross the Uncrossable River of Uncrossableness.,Infodumping
Buford,"Oh, sweet, sweet closure. Maybe we'll even find the last shard, or face the Puzzle Master, or discover the identity of the man in really dark grey!",Infodumping
Buford,"Now they're headed for the junkyard. From whose gravitational pull, it'll be impossible to escape. Am I thinkin' of a junkyard, or something else?",Science / Inventions
Buford,"It's an interesting question you pose, as it reveals not only one's impulses and desires but one's deepest fears as well. I'll go with Belchman.",Philosophy
Buford,"Fooled ya'! It's me, Buford! And my voice isn't horrible, it's raspy! You gotta spend hours screamin' in the closet to get it like this. Hours!",Image
Buford,"Wait a minute! Okay, stay with me on this. She's empty and all alone in this world, right? Well, I know someone else who's empty and all alone.",Philosophy
Buford,"And if you follow me now, you'll see Candace's recurring nightmares. Come on, people. Try and stay with the group. (they see everyone running from the id) Hey, where are they going? (he sees the id and screams)",Image
Buford,"Aaah, fine! I was feeling creatively stifled by you anyway! (at grocer) And you! You just cost me a perfectly good nerd! Maybe I'll make you my new nerd.",Relationships
Buford,"(Still floating on the balloon, and seeing the Tri-State area) Wow, it's all just one, big place. No Bi-State area. No Adjacent Area, It's all just one big Tri-State Area, right over there! (The string he was holding onto rips off the balloon, opening a hole on the balloon) Uh-oh. Mamma!",Infodumping
Buford,"Farewell, Chowdina. Farewell. Chowdina, won't you say goodbye? Oh, that's right. Your voice was just a coping mechanism. ""Farewell, Buford.""",Philosophy
Buford,"Oh, oh! Can I blow a super huge one? So I can crawl inside it and float around like a little woodland pixie? (stops, realizing his mistake) Did I just say that out loud?",Infodumping
Buford,"Alright, you two, let's get somethin' straight here. There'll be NO messin' with the Buford. Don't make no diff how many of you there are!",Image
