Name,Dialog
Phineas,"It sounds like somebody is strangling a cat! It must be Grandpa! Wakey wakey, eggs and bakey!"
Baljeet,(Coughing) I cannot believe we eat the same food.
Buford,(Burps) Believe it.
Candace,"Grandma, would you show me where the shower is?"
Grandma Betty Jo,"Shower? Why, sure honey. Would you like a massage and a fruity drink too? How about a manicure and a mud facial while you lay by the pool eating crab cakes?"
Candace,I can do without the sarcasm.
Grandpa Clyde,"Chow time's over, campers. Time for our nature walk to Badbeard Lake."
Phineas,"Why do they call it ""Badbeard Lake""?"
Clyde,"Well, it's a body of fresh water surrounded by land―"
Phineas,"No, the ""Badbeard"" part."
Clyde,"Oh, right. It was named after ""Badbeard"", the most ruthless freshwater pirate ever to plunder a lakeside community."
Kids,Cool!/Wow!
Clyde,"And in the middle of Badbeard Lake lies Spleen Island, where legend has it Badbeard buried his bountiful booty. Heh!"
Phineas,Booty?
Clyde,"You know, treasure."
Kids,(Gasps) Treasure?
Clyde,"Aye, mateys- Oh, just a sec. (Marker squeaks as he colors in the lens of his glasses) Arrrgh!"
Phineas,"Why are you talking like a pirate, Grandpa?"
Clyde,"Arrrgh! I'm trying to tell the story of Badbeard the Pirate. There's a song about it. Say, does anyone have a concertina? Buford?"
Buford,Me? (Pulls out concertina) Yes.
Phineas,That's it?
Clyde,"Well, I didn't say it was much of a song. So, meet me at the trail head in 5 minutes."
Kids,"Aye-aye, Captain Grandpa!"
Clyde,That's the spirit!
Baljeet,"(Stretching out his overalls) Oh, dear. I seem to be missing my underpants."
Buford,(Laughs)
Clyde,"Ah you see, kids, wherever you go, the forest is teeming with life for us to step on. Remember, always stick to the trail so you won't get lost. And whatever you do, never touch the orange moss that grows on the right side of the Jum-Jum tree."
Candace,Boring. I'm calling Stacy.
Clyde,Left is right. Right is wrong.
Candace,I can't get any reception up here.
Clyde,"So stay clear of the moss. The slightest touch, and the orange moss will absorb through the skin, causing wild hallucinations."
Candace,"Huh? Oh no! Was that the right side or the wrong side? No, wait. The left side was the right side. (gasps) Moss! Orange! (screams; runs off)"
Clyde,Thar she blows mateys. Badbeard Lake.
Kids,Ooh!
Clyde,And thar be Spleen Island. (gasps) The bones of them that hunted the treasure all be lyin' below in Davy Jones's locker.
Phineas,Cool!
Clyde,Let's go!
Betty Jo,Candace? Where's Candace?
Major Monogram,"Good morning, Agent P, and thank you for your help, Agent E. Sorry if we alarmed you, Agent P, we're remodeling our regular base here. Actually, my wife's doing it Mexican-country style. Distressed wood, wrought iron. It should all be very- (Agent E feeds worms to the Monogram Egg) Woah! Hey, woah! Hey, Agent E, back off! Anyway, Agent E spotted Dr. Doofenshmirtz on Spleen Island. He's moving boxes and equipment into what's known as the haunted cave of the old sea hag. Honestly, I'm not making this stuff up. But anyway, we believe he's creating a new hideout there, and we want you to foil his plans. Good luck, Agent P."
Candace,"(After seeing Perry) No way. This is so weird. I see Perry with an eagle, and their both dressed up like secret agents and they're talking to man inside an egg. (Snickers) That is so messed up. It must be the moss. Hey, wait a minute. (Sees she's at the top of a tree) How did I get way up here? (Screams, Coughs; Eagle calls) Now Perry has a wetski? (Gasps) How strange can this get?"
Talking Zebra,"(Knitting; Appears out of nowhere) Oh, it gets much stranger, Kevin."
Candace,(Screams)
Buford,"En garde, you scurvy dog!"
Baljeet,Ha! I don't even know what scurvy is!
Phineas,"Hey! I know what we should do today! Let's be real pirates, and go find Badbeard's treasure."
Clyde,"(Laughs) Sure, knock yourselves out. I was just about your age when I first heard about Badbeard's treasure. I'd come up here every summer and search for it. But I felt drawn by the excitement and adventure. Of course, then I discovered girls and the rest is a blur. I never found the treasure, but I did find a treasure map."
Buford,Treasure map? Hey!
Baljeet,(laughs) Woah!
Clyde,"But be warned, mateys. They say Badbeard's treasure comes with a curse."
Kids,"""A curse""?"
Clyde,Aye! Them who disturb the treasure of Badbeard shall be cursed with bad beards for the rest of their days.
Phineas,"You mean we'll be stuck with a big, ugly beard on our face for the rest of our lives?"
Buford,That's gnarly.
Clyde,"Well, while you kids search for treasure, I better go search for Grandma. Wish there was a map for that."
Candace,(Screaming)
Phineas,"Okay, troops. We set sail from Point Plots, sail through the Stones of Gall, and into the Cove of Incontinence, and then continue on foot into the Dark Tunnel of Doom. Well, that sounds delightful. And ""X"" marks the spot. Easy-peasy. First thing we gotta do is, we make Grandpa's secondhand dingy into a first-rate pirate ship. Ferb, any ideas?"
Phineas,Woah. Impressive.
Candace,"Hehhehheh, hehheh, ee-ee-ee-ee, hahahaheeheehee."
