Name,Dialog
Baljeet,"We're going to the circus! We're going to the circus! (Cut to the kitchen, where Phineas, Ferb, Isabella and Django is eating Pow cereal... aside from Buford) I am here and ready to go to the world-famous Cirque de Lune."
Phineas,Have a seat. We're goin' in a minute.
Baljeet,Ok. We're going to the circus! We're going to circus!
Lawrence,"Well, hold your horses, kids. It says here that the lead of Cirque de Lune has a severe allergy. They're canceling today's performance."
Isabella,"Well, that's a bummer!"
Linda,"If it's anything like Candace's parsnip allergy, whew! I don't blame him for not wanting to appear in public."
Phineas,"(at Isabella) She gets blotchy. Red, weird voice thingy. (whispering) Not good."
Linda,"Well, honey, looks like that frees you up to join me at the mall. Our trio is recording our first album today"
Lawrence,"Mmm mmm, should be swinging."
Linda,"Cheer up, guys. I'm sure you'll have a fun day anyway. (She and Lawrence leave the kitchen) Bye, kids, be good. Have fun!"
Isabella,It must be so cool to be in the circus.
Phineas,"Yeah. (snaps his fingers) Hey, Ferb, let's put on our own Cirque. This'll be great! Ferb can set up the tent, I'll be the ringmaster."
Isabella,We can sew up some arty costumes.
Django,"Hey, for a trick, I can put my leg over my head. (Tries and falls over) Ow. I'll work on it."
Phineas,"Even Perry can have an act! The Amazing Perry! (trumpets sound as Perry faces the camera with food in his mouth, drooling)"
Baljeet,"Ooh, I have a mystical, magical act I would like to perform. It's stupefying!"
Buford,I have another act that'll bring the house down.
Phineas,"Ferb, get the tools!"
Isabella,Let's do this!
Candace,"(sleeping next to a framed photo of her boyfrined; yawns) Good morning, Jeremy. (fake boy voice) Good morning, gorgeous. (normal voice) Oh, Jer! (Candace giggles and rubs a framed photo of herself against the Jeremy photo, making kissing sounds. She is soon alerted to power tools whirring and thumping) I'll be right back, Jeremy. (she looks out of the window) What's going on? (Ferb has just set up the tent) A circus? Can't they give me a break for one day?"
Phineas,"This looks great, Ferb. (machinery hissing) Hey, have you seen Perry? I put on his costume."
Major Monogram,"(clearing his throat) Okay, Agent P. Dr. Doofenshmirtz is buying bio-mechanical equipment and... (chuckles) ...elocution tapes. (laughing) W-we don't know why. (Perry walks away) Where are you going, Agent P? Wait, wait, wait, wait. Don't-Don't go. I'm not laughing at you. I just heard a funny joke earlier this morning and- Please-please, Agent P. Turn around so we can conclude our meeting. (camera phone snaps) Carl! (3x) What's your e-mail? Gonna send this to you."
Buford,"Hey, twerp, I brought the props for my act."
Phineas,"Buford, what exactly is your act?"
Buford,I fly into mud with a paper bag on my head.
Phineas,"Okay, then."
Buford,The peeps are gonna love.
Candace,"(sighs) I'm not even gonna call Mom. Nope, not gonna call! (Unfortunately, the sound of an elephant forces her hand, and she calls Linda)"
Linda,"(recording album at the Squat 'n' Stitch inside Googolplex Mall; answers phone) Candace, honey, listen. I can't talk. We're recording. Is it life or death?"
Candace,"(back home...) Well, no, but..."
Linda,I gotta go! Bye! (Candace growls in frustration)
Jeremy,"Heya, Candace."
Candace,"Oh! Hi, Jeremy."
Jeremy,My mom told me to bring over these homegrown veggies for your family. You know; she and your mom are doing that jazz thing today.
Candace,Thanks!
Jeremy,"So, circus, huh? Cool. Cool. I guess it's more of a cirque than a ""circus"". (laughs)"
Candace (earlier),"(in her Jeremy voice) Good morning, gorgeous."
Candace,Oh. (giggles)
Jeremy,Don't you think?
Candace,What?
Jeremy,Don't you think we should sit together to watch the show? If-if you want to.
Candace,"Yeah, yeah. (hacking cough, wheezing)"
Jeremy,"Uh, Candace, are you okay?"
Candace,"Say, are there any wild parsnips in here?"
Jeremy,"Uh, I think that's all that's in there."
Candace,(choked gasp) Later.
Man,"I'm dancing with your wife, pal. You got a problem with that?"
Doofenshmirtz,"I'm dance... (clears throat) ""I'm dancing with your wife, pal. You got a problem with that?"" Oh, yes, that does sound tough."
Man,"Yeah, I ate your last nectarine. You got a problem with that?"
Doofenshmirtz,"Yes, I ate... (Agent P crashes in as usual; coughs) Perry the Platypus, look. Could-could you just use the front door from now on? Could you just do that for me? I mean, (Clears throat) ""Yes I ate your last nectarine. You got a problem with that?"" Sounds tough, huh? But not tough enough! (He pushes button on a remote and Perry gets trapped in a net) You see; ever since I was a child, I had a high, squeaky voice! But not anymore. Behold"
Candace,"Of course, it had to be wild parsnips. Allergy pills, allergy pills. Aha! Quick! Before my voice goes through the reaction. (She finds there are no pills left. She now has in a deep, manly voice) Noooooooooooo!"
Mindy,"Hey, Jeremy. Wanna sit together at the show?"
Candace,"No, no! Mindy can't sit with Jeremy! Gotta stop this, gotta tell Mom! Can't go out looking like this! (The camera pans to a paper bag on the floor. Outside...)"
Mindy,"So, how about us sitting together?"
Candace,"(Now wearing the paper bag and a grey jacket, she runs past them) 'Scuse me."
Jeremy,"Oh, it's good, bro. (at Mindy) Thanks, but I promised Candace. (Candace runs off down the street)"
Phineas,(from inside the cirque tent; over P.A.) We're moments away from Ferb and The Amazing Perry!
Phineas,"Hey, Ferb. You guys are up next. Where's Perry? (Perry, back in his cirque outfit, walks towards the boys) Oh, there you are."
Baljeet,"And now, for my final trick, (cut to main stage) I will reattach my thumb! Feel the rhythm, feel the rhyme, come on thumb, it's healing time."
Phineas,"Let's hear it for Baljeet the Stupefying! But now, prepare to be astounded when The Amazing Semi-aquatic Perry, aided by Ferb, attempts to jump through that hoop into the Shallow Pond!"
Audience,Ooh! (Ferb tosses Perry onto the trampoline and he goes through the hoop and lands in the bucket of water)
Phineas,Yeah! Let's hear it for the Amazing Semi-aquatic Perry!
Candace,Psst. Mom.
Linda,"Candace, have you been near the wild parsnips again?"
Candace,"Yes, but you gotta see what Phineas and Ferb are doing."
Linda,What is it now?
Linda,"Let me spell it out for you, Mom"
Candace,"Okay, Mom, so you gonna come home with me?"
Linda,"Are you kidding, hon? Let's do another! (Candace groans as walks off back to home)"
