Name,Dialog
Phineas,"So, Ferb, what do you wanna do today? (Ferb shrugs) What about Perry? What does he want to do? (Perry chatters) Well, he's a platypus. They don't do much. I, for one, am starting to get bored, and boredom is something up with which I will not put! The first thing they're gonna ask us when we get back to school is ""what did we do over summer?"". I mean, no school for three months. Our life should be a rollercoaster! And I mean a **good** rollercoaster, not like that one we rode at the state fair."
Ride attendant,Please exit to the left.
Phineas,"Man, that was lame. Why, if I built a rollercoaster, I would... That's it! I know what we're gonna do today!"
Linda,"Phineas, Ferb. I'm gonna go pick up a few things. You boys stay out of trouble, okay?"
Phineas,"Okay, mom. (to Ferb) We're gonna build a rollercoaster!"
Candace,"(In the driveway, Linda gets into the car; comes over) I'm in charge, right? You did tell them I'm in charge?"
Linda,"Relax, Candace. Nobody has to be in charge."
Candace,But what if there's an emergency?
Linda,Like what?
Candace,What if a... (gasps) What if a satellite falls out of orbit and crashes into the house? (smiles)
Linda,"If that happens, you're in charge."
Candace,"Yes! (enters the backyard to see the boys) Mom says I'm in charge, conditionally."
Phineas,(He and Ferb are working on something with drafting tables.) Whatever.
Candace,"Wait a minute, what are you doing?"
Phineas,Homework.
Candace,It's summer.
Phineas,That's cool. You wait till the last minute then.
Candace,"Well, I'm watching you. (walks into the house and closes the door, then opens it shortly after) And I'm in charge, conditionally! (closes the door again; looks out the window, then answers her video phone when it rings.) Hello? Oh, hi, Stacy! No, I can't go to the mall right now. Mom just went to the store, she left me in charge, well, you know, conditionally. (Phineas and Ferb walk past with lots of wooden planks.) Oh if you go, can you see if Jeremy is there? No, no, he's the cute one that works at Mr. Slushy Burger. (Phineas and Ferb walk past with steel beams.) Yeah, he totally smiled at me last time I was there. I just about died. No, I told you I can't. I'm watching my brother and stepbrother. (Phineas and Ferb walk past with sinks and toilets.) Yeah, and they never get into trouble ‘cause Mom never catches them. One of these days though, I'm going to see to it that she catches them red-handed. (Phineas and Ferb walk past with a flamingo and a lion in a cage that roars loudly.) Will you hold it down?! I am trying to use the phone! (at Stacy) Mom left me in charge, so there will be no shenanigans today. What are they doing right now? Why do you ask? What do you mean you can see it from your house? See what?! (She runs out to the backyard and stares in shock upon seeing the rollercoaster that Phineas and Ferb are building.) Phineas, what is this?!"
Phineas,Do you like it?
Candace,"Ooh, I'm gonna go tell mom and when she sees what you are doing, you are going down! (runs off) Down, down, down! (Phineas and Ferb look blankly while she walks away.) D-O-W-N, down!"
Phineas,We're gonna need a blowtorch and some more peanut butter.
Isabella,"(she walks up the driveway while Candace rides off on her bike.) Hey, Candace. Is Phineas… home?"
Candace,"Down, down, I say!"
Isabella,"(she walks into the backyard; hearts in eyes) Hey, Phineas."
Phineas,"Hey, Isabella."
Isabella,What'cha doin'?
Phineas,Building a roller coaster.
Isabella,In your backyard?
Phineas,Some of it.
Isabella,Wow. Isn't that kind of impossible?
Phineas,Some might say.
Isabella,"Hey, Ferb. (Ferb waves with the hammer.) Does your stepbrother ever talk?"
Phineas,Ferb? He's more of a man of action. (Ferb hits the nail with his hammer and then his nose.)
Isabella,"I was gonna go to the pool, you wanna go swimming?"
Phineas,Kind of in the middle of something here.
Isabella,"Oh, right. Okay, I'll see you later then. (leaves)"
Phineas,"Okay. (at Ferb) Hey, Ferb, you got enough rivets up there? (Ferb gives a thumbs up showing they have rivets.) Hey, where's Perry?"
Major Monogram,"Good morning, Agent P. The evil Dr. Doofenshmirtz is up to his old tricks. For reasons unknown to us, he bought up 80 percent of the country's tinfoil. I want you to get over to his hideout right away, find out what he's up to and put a stop to it. As always, Agent P, it is imperative that your cover identity as a mindless domestic pet remains intact. Now, get out there. We're all counting on you. (Agent P jumps into his hovercraft and flies through a tunnel. He leaves through a stone and holds his fedora down to hide from the brothers.)"
Phineas,"So, the way I see it, the solid fuel rockets kick in at the mall's parking lot, then we release the snakes during the corkscrew around the interstate. I'm gonna go get the snakes. (Ferb puts on his mask and starts using the blowtorch.)"
Candace,"Mom, you gotta come home right now."
Linda,Did a satellite crash into the house?
Candace,"No, no, no! You gotta see what Phineas and Ferb are doing!"
Linda,Seems like we've had this conversation before.
Candace,What do you mean?
Linda,"I seem to recall you telling me that the boys were training monkeys to juggle bicycles, and when I come home, there was a stunning lack of monkeys."
Candace,I still don't know how they cleaned that up so fast.
Linda,"So, what's the emergency this time?"
Candace,They're building a rollercoaster!
Linda,"Candace, seriously, isn't Phineas a little young to be a rollercoaster engineer?"
Foreman,Aren't you a little young to be a rollercoaster engineer?
Phineas,"Yes. Yes, I am."
Foreman,"Well, I must say, I'm very impressed. The forms all seem to be in order, although I've never seen them filled out in crayon before. So, if there's anything I can get you, anything at all, just let me know."
Phineas,Do you think we could borrow one of those gadgets? (A robot arm fixing a car is shown.)
Phineas,"Now, this is the life."
Doofenshmirtz,"Ah, Perry the Platypus, what an unexpected surprise. And by unexpected, I mean: Completely expected! (He presses a button. Mechanical arms seize Agent P.) I, Dr. Heinz Doofenshmirtz, have covered the entire eastern seaboard in tinfoil, and when I put my giant magnet next to my ingenious Magnetism Magnifier, I will pull the East in a westerly direction, thereby reversing the rotation of the Earth. You may well ask yourself, why would he do this? What could he possibly have to gain? Well, let me just answer that by saying I haven't really worked out all the bugs yet. I mean, you know, tinfoil alone costs a lot. (While Doofenshmirtz is talking, Agent P tries getting free, then notices a screw on the floor at his feet. Looking around him, he formulates a plan.)"
Candace,"But, Mom, I'm telling you, they're building it, and it's huge! (Ferb puts up a poster. She reads it.) ""Phineas and Ferb present the Coolest Coaster Ever now open""? (runs off) Mom!"
Pedro,Phineas and Ferb got a roller coaster? You think we get a discount if we bring the flier?
Dimitri,Maybe we better take it. (They take it with them just as Candace brings Linda over.)
Candace,"(gestures toward the empty post, head turned away) There, look, look, look, see? I told you I'm not crazy, I told you!"
Linda,"(dryly) And you're not crazy because...? (Candace turns toward the post where the poster was and screams.) I see your point, Candace. No crazy person would scream at a post like that. I'll be in the dairy section if you wanna come yell at some cheese, or anything."
Phineas,"Ladies and gentlemen, boys and girls, children of all ages! May I present to you a spectacle most of the morning in the making: The Coolest...Coaster...EVER! (Ferb pulls a rope to unveil the rollercoaster. The camera pans up to its top. A bird files into it and falls.) So, who wants to go first? (The bird falls behind Phineas. The entire audience raise their hands.)"
Phineas,"(cntd) To fasten, insert the tab into the metal buckle. To release, just pull back on the— (drops the seatbelt) Oops. Well, you get the picture. Well, that's about it. Enjoy the ride. (The car goes over the top, and stops, viewing the extended drop.) You all signed the waivers, right? (The car quickly drops as everyone screams. It goes through loops, hairpin turns, and a corkscrew, then a load of rubber snakes drop on it.) Relax, they're just rubber! (The car goes into a bucket of mud, then exits and gets cleaned through a car wash.) Hey, look, here comes the AH-AH-AH-AH! (The section of the rollercoaster spells out ""AAAA"" and goes past the building with ""!"" on its side. The car zooms around the D.E.I. building.)"
Doofenshmirtz,"…When I really make all my money back, I-I-I could buy a bunch of east-facing real estate, and sell it again with a- (Agent P sends a screw at him, which he ducks for.) Ha! You missed! (The screw flies to the roof and hits a line, which throws it back at his foot.) Oowwww! Ow, ow, ow, owwww! (He jumps around and accidentally releases Agent P, who quickly punches him. The two have a swordfight with wrenches, then Agent P hits his foot.) Owww! (He rolls a battery cart into Perry, who jumps over it, causing the cart to fall outside through a window. He then pulls a lever, opening the top of the building.) Now, you are too late! (the Magnetism Magnifier activates) Quake in your boots and watch helplessly, as the unimaginable electromagnetic forces pull the eastern seaboard, thereby reversing rotation of the- (The tinfoil releases from the buildings.) Well, that didn't work. (The tinfoil creates an enormous ball, gliding through the air.) And now, we have a two-ton ball of tinfoil traveling 200 miles an hour directly at us! (He and Perry run to the Magnifier) Quickly! We must separate the magnet from the Magnifier before it's too late!"
Linda,"Now I know I have that club card in here somewhere. I always have it with me, but my purse is such a disaster area, you know how it is."
Candace,"(goes outside and sees the coaster) Oh, oh, oh, oh, oh! Mom! Mom! (rushes off)"
Doofenshmirtz,"It's no use! It's no use! We are doomed! (Agent P sees a helicopter. He jumps onto the magnet and fires a grappling hook at it. He quickly wraps some of the rope around the magnet. The helicopter flies off, taking the magnet with it.) You did it! You saved us, Perry the Platypu- (The tinfoil crashes through the building.) Curse you, Perry the Platypus! (The Magnifier gets attached by the magnet. The magnet gets attached to the whole rollercoaster, which begins to rumble as it follows the helicopter.)"
Candace,"(Candace pulls Linda into the Mart's parking lot.) Look, look, look, see? (The coaster gets lifted by the helicopter just before Linda looks.)"
Linda,"(pause) Okay, I give up. What am I supposed to be looking at?"
Candace,(turns to see the empty parking lot) No! It's not possible!
Linda,(going back inside) I'm gonna go get the cart.
Candace,"It was right here, and it was huge! (sees the rollercoaster fly away) Mom!"
Linda,"(walks past, taking her cart) Time to go. I've got frozens."
Candace,"Okay, so you think that Phineas and Ferb are still under that stupid tree in the backyard, right?"
Linda,"Well, yes, that would be my guess."
Candace,(pushes Mom's cart) Fine. Then let's go home now!
Phineas,"Oh, there you are, Perry. (Perry, now in pet mode, chatters) Nice hat, Isabella. (Isabella takes off Agent P's fedora and looks at it, confused.; The car goes to the end of the track and flies onto a construction area, then a crane flings in into the air.) Funny, I don't remember this in the blueprints. (An airplane picks up the car by the tail.) And I'm sure this is new."
Linda,"I worry about you sometimes, Candace."
Jeremy,Welcome to Mr. Slushy Burger. May I take your order?
Phineas,"Anyone want fries? (Before taking any orders, the tree bends back and throws them to Paris, where they land on the Eiffel Tower, which bends so they end up in front of a croissant stand.)"
French Man,Croissant?
Phineas,"Anyone want a... (French accent) ""croissant""? (Before taking any orders, the Eiffel Tower bends back and flings the car into space. A satellite flies by.) You know, if that thing crashes to Earth, Candace is in charge. (The car suddenly falls back to Earth. The front of the car begins to burn like a meteor.) We should have charged more."
Linda,"(pulls the car on the driveway and Candace jumps out.) Okay, we're here. Are you happy now, Candace?"
Candace,"(laughing gleefully; looks in the backyard and doesn't see her brothers.) Yes! (at Linda) See, Mom? I told you they weren't there! (She gestures toward the tree with her eyes closed while leaves rustle off-screen.)"
Linda,"(Linda pokes her head through the gate opening and smiles.) Oh, hi, boys. (Candace opens her eyes and her mood changes to shock)"
Phineas,"(He and Ferb are now under the tree.) Hi, Mom."
Linda,"Come on, Candace. Help me with the groceries. (goes off)"
Candace,"But, but, but, but, but, but, but... (continues under)"
Linda,(overlapping in the middle of Candace's sputtering) Let's go. (pulls her away)
Kid,"(Kids come down from the tree.) Hey, Phineas, that was great."
Pedro,Way too cool.
Third kid,That was awesome! Can we do it again?
Phineas,"(the coaster is burning on top of the tree.) Sorry, only one ride per customer."
Isabella,"(coming down from the tree) That was great, Phineas! So, what are you gonna do tomorrow?"
Phineas,Don't know yet.
Isabella,(pets Perry) Maybe you can teach Perry some tricks.
Phineas,"Well, he is a platypus, they don't do much."
Ferb,They're the only mammals to lay eggs. (Pause)
Phineas,Maybe he'll lay an egg.
Isabella,Cool. See you tomorrow. (goes to the gate) It really was the coolest coaster ever. You guys make a great team.
Phineas,"Well, a brother is a brother, but I couldn't have asked for a better one than Ferb. You know what I mean? (Ferb burps) Oh-ho-ho, man! I could smell the peanut butter!"
Isabella,"Well, that was impressive. (leaves) See you, guys."
Phineas,"So, what **should** we do tomorrow? There's a world of possibilities. Maybe we should make a list. (The coaster explodes in the tree. A car alarm goes off and a dog barks.)"
Candace,(from inside) Mom!
Linda,"(from inside) Give it a rest, Candace!"
