Name,Dialog
Doofenshmirtz,"Thanks, Cheryl! My real estate agent. So, my evil plan. As you may know, the Montevillebad Grand Prix is a goodwill event with all the prize money awarded to the winner's favorite charity. So, I entered the race for my favorite charity, Doofenshmirtz Evil Incorporated...namely me! I'm the Doofenshmirtz...in Doofenshmirtz Evil...Well, y-y-you get it. And check it out! I re-engineered my Boomshlaka 320-I to meet the Grand Prix specs. I also added some extras that should take care of, like, 99% of the playing field. Th-There's still that 1%, Paolo Vanderbeek. But, uh, I got something else to take care of him. Behold, my I-Don't-Care-inator! It's not that I don't care. It creates apathy in whoever it hits. It's a little esoteric, I know, but, trust me, it'll work. I'll just zap Paolo with this baby and suddenly he won't care about anything and, uh, least of all, racing. I'll turn the King of Care into the King of I Couldn't Care Less, which will pave the way for me to win the race and the prize money for my favorite charity, which, I think I said before, is me. Now, before I go, lest you try to escape, I'll show you one more feature of this place. Look, it's got its own shark tank! Okay, then, I'm off to the races...literally! Hasta la pasta, baby!"
Doofenshmirtz,"Perry the Platypus? HERE? How could this be? I'm shocked. I mean, it would have taken a total evil mastermind to have guessed that you'd track me to this point, find the secret hide-out, glide in under the radar and infiltrate through this access vent, make your way over to this crate, activating my automatic arm and leg restraints. Oh, right here? This is the part where I get all sarcastic and pretend you surprise me. ""OH, PERRY THE PLATYPUS?!? HOW? WHAT THE? WHO THE? WHY THE..."" Oh! ...Finally ending here, when I finish showing you my brilliant plan. You see Perry the Platypus, this secret hideout doesn't actually belong to me. It belonged to my mentor, Professor Destructicon, Kevin, to his friends. Sadly, he was just captured in the midst of his latest plan to set fire to the sun! Redundant, perhaps. But before they locked him away, Kevin asked a favor of me: To prevent them from discovering his hidden lair and all its secrets, would I please SET FIRE TO THE SUN! And I was like, dude, you really got to let that one go, it's-it's a ball of fire! It makes no sense. So he asked me instead to simply destroy his hide-out, which I will now do, using my new Disintevaporator. And you, Perry the Platypus, will now be disintevaporated along with it!"
Doofenshmirtz,"Oh, Perry the Platypus, I was hoping you would come. Wh-Wh... this? Yeah, I had to place myself in restraints. There's a perfectly good explanation though. It all started a couple of days ago, when I declared war on grass, i-it's not important why exactly. Le-Let's say grass got on my bad side. Grass and me, we're on the outs, big time, so I got myself a cow, the natural predator of grass, it was slow going. What I needed was cow that was motivated not by hunger, but by a powerful hatred of grass like, like my own. Burning antipathy, so I invented the Mind-transfer Inator to give that cow a piece of my mind! And as it turns out, cow brain? Not a lot of room in there for new ideas. That would have been it, but I started having these gaps in my memory. I had a strange craving to lick salt and I found myself watching the nightly farm report and the Pasture Channel way more than usual. . . I-I began to get a sense that I was not quite human anymore, which is-which is why I'm in the restraints and actually it stinks 'cause tonight's Halloween, you know, that's totally my thing, you know, the only holiday to celebrate evil, and here I am in these... Oh no! It's happening again! It's happening! Argh! Mooo! Moooo! Moooo!"
Doofenshmirtz,"Thank goodness for old reliable traps, huh? I'm so glad you're going to hang around. Anyway, you've arrived just in time to witness the unveiling of my latest invention. Let me introduce to you the Mountain-out-of-a-Molehill-inator. All my life, I was told, ""Don't make a mountain out of a molehill,"" ""Don't make a mountain out of a molehill,"" ""Don't make a mountain out of a molehill."" Well now I intend to do just that. This machine will infuse electricity into a small little sphere of compressed nitrogen molecules, which I will then drop into the earth and it will make all the tiny little molehill molecules grow and grow into enormous mo-- You know, it's kind of complicated. I learned about it on some kid's website. Oh, oh, and you know what else I found on the web? It's these pictures of cats and they write these—oh, l-l-l-look at this one, ""Invisible Cheeseburger"". No, huh? Well, it's not for everyone, I just think they're funny. Anyway, so I take the sphere, electrify it, drop it in the ground, ta-da! Mountains! Out of molehills! I know when people say that, they usually mean it figuratively, it's an analogy, bu-bu-but I'm making a point, I can do whatever I want."
Doofenshmirtz,"So, let me tell you my evil scheme. Not too long ago, I used to sit right over there and watch free movies on the drive-in movie screen across the street. Of course, I didn't get the sound, so I'd make up my own dialogue. It was fun. ""Sheila, I love you, but now I have to defuse this bomb."" See? Good stuff! Gripping! But now look! They built a giant condominium blocking my view. I tried to make up dialogue for it... ""I'm a condominium. I'm just standing there."" See? The-The- Where's the fun in that? It's always the same, ""I'm a building."" There's no story. And I know what you're thinking, why not just move my chair over to that window over there with the unblocked view? Well, then I'd have to move this little table, too, and the-and the lamp, and this is the only electrical outlet. It just seems easier to get rid of the building. So, that is why I've invented this: the Go-Away-inator! One blast of this ray, and that building, and everyone in it, will instantly be transported somewhere else. Here on this wheel, I've written many undesirable locations. With one pull of the string, a site is randomly chosen, and good-bye low-rent condo, hello Hollywood high-budgets!"
Doofenshmirtz,"Balloony!! When I was a boy, the smell of pork emanating from me was so bad because of, well, the reason's unimportant, it was part of a different emotionally-scarring backstory; I'm not getting into... regardless, the smell of pork was so bad that no one would come near me. So one day the carnival came to town and I needed money because of, well yet another back story that... basically, my parents disowned me, I was being raised by ocelots. The point is, I had to get a job at the carnival, but the only work was at the dunking booth, and not as the guy who got dunked though, I-I-I was what they threw to dunk him, which-which is again a whole other backstory. Okay, look- long backstory short, I got a balloon at the carnival, I drew a face on him, I sprayed him with special ""Lifelong-Lasting"" spray I created, and I named him ""Balloony."" He became my best friend in the whole world, yadda yadda yadda. Then one tragic day, when I was protecting our garden as a lawn gnome, Balloony started floating away. And then I didn't see him for a long time; it wasn't 'til... well, there was this whole thing with an alien ship, it was really improbable."
Doofenshmirtz,"Ha ha ha, welcome, Perry the Platypus! I never thought you'd fall for the old ""distract Perry the Platypus with a weird bird"" trap. I gotta say though, it's uh...it's quite an ugly bird. And now, for something a little more confining. You like it? It's biodegradable. A biodegradable trap. You know how everyone says, ""if you don't like meatloaf, it's probably because you haven't tasted my meatloaf""? Well, it's true, because mine really is the best! In fact, I come from a long line of great meatloaf chefs. The recipe was first created by my great grandmother Gretel Doofenshmirtz, who passed it down to my grandpa, José Doofenshmirtz, weird story there. Then he passed it down to my mom, who passed it down to...Roger. Ugh! Naturally, I had to steal it from him. And when I did, I finally found out what the secret ingredient was. The secret ingredient was hate. Usually it's love, but Great Grandma Gretel had some issues. With this recipe, I'm sure to win the Danville Meatloaf Festival! But just in case, I have the Rotten-inator! With a quick blast of this, my competitors' meatloaves will be completely rotten! My victory is guaranteed!"
Doofenshmirtz,"Okay, lessee, what do we have here? Class dunce with a fake scar, and you must be the Princess of Meatland… and… uh, oh, an Upset Rooster Head. And what are you supposed to be, a kid in a sheet? A platypus in a sheet? Perry the Platypus in a sheet?! Do I -- well, uh, that's perfect! Wait, wait, I was hoping you would— Ow!! Whoa whoa whoa whoa, I-I'm being sincere! There's no trap, no inator, just come over here, you gotta see this. It was delivered today. I had to sign for it and everything! It's a real castle with… with a moat! Who delivers a moat?! How did they even get that on the plane? It's from my Great Aunt Henrietta Hawkenschpit. She left it to me in her will. Look listen to this. ""To Heinz Doofenshmirtz, You are my only nephew, except for Roger and I hated him."" See? See why I liked her? ""Therefore, I leave you my castle, and hidden inside is a very large treasure!"" Huh? And look! There's a little treasure map with clues! Wanna help me? Oh, come on! It'll be fun! Take off your secret agent hat just for tonight and put on your adventure hat! That's my guy! Treasure ho! This is gonna be fun!"
Doofenshmirtz,"Ugh, where is Perry the Platypus? He should have been here hours ago. Ah, Perry the Platypus. Well, y'know, I had a trap for you, but no time. This one's a little complicated, okay? You remember a few schemes ago when I couldn't figure out what ""Big Laundry"" meant? Well, this! This is what I meant! I am nefariously planning to provide the entire population of the Tri-State Area with free laundry, which will drive out of business all of the local laundromats, freeing up prime real estate locations for my newest franchise: the Doofenshmirtz Institute of Evilology, wherein only six weeks, students can earn a certificate in mayhem, larceny, or Ponzi schemes. And I'm here in this volcano on this deserted island 'cause I get all this free monkey labor. I control them all with my Monkey-Enslave-inator helmet. And all I had to do was build one of them, because, you know, monkey see, monkey do. Hey hey! Yeah, you can't put the red clothes in with the whitewash! You'll turn the whole batch into a big pink mess! Bright colors over there, you incompetent baboon! Literally. Okay, now what was I talking about?"
Doofenshmirtz on TV,"La, la, la, la, la. Topeka, Kansas. Topeka, Kansas. Okay. So, Perry the Platypus, I bet you're wondering why I trapped you in this soundproof capsule? Wait, Wait. If it's soundproof he won't be able to hear me...expl-Oh. For generations philosophers have asked, ""If a tree falls in the forest, and no one is around to hear it, does it make a sound?"" The answer, by the way obviously is ""Of course it does."" I mean, duh! Right? Philosophers. Get a job thinky-boy! Now see, the question they should be asking is, ""What sound does the falling tree make?"" Behold! The If-a-Tree-Fell-In-The-Forest-Inator! Dun dun dun! One blast from this puppy will knock over a tree or anything else for that matter, and the sound it will make will be: Doofenshmirtz... I will have eternal fame as the answer to that one philosophical question! I'm also working on a Sound-of-One-Hand-Clapping-Inator. Doo-Fen-Shmirtz. Hehe. I'll CORNER the markets! And speaking of markets, I'm out of vitamins. I should really get some before they close... Eh. So I skipped my Vitamin C for one day. What's the worst thing that could happen?"
